Pclass,Name,Survived,Sex,Age,Hometown,Role,Role Additional info,Image,Misc Information,Lifeboat,Body Disposition,Job Area,Source of info 1,Source of info 2
n/a,"Hopkins, Robert",1,male,40,Belfast,Able bodied seaman,,,,13,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Horswell, Albert Edward James ",1,male,33,Southampton,Able bodied seaman,,,,1,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Jones, Thomas",1,male,32,Liverpool,Able bodied seaman,,,,8,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Lucas, William",1,male,25,Southampton,Able bodied seaman,,,,12,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Lyons, William H.",0,male,26,Southampton,Able bodied seaman,,,,4,"yes, died on Carpathia, buried at sea",Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Matherson, D. ",0,male,30,Southampton,Able bodied seaman,,,,,yes,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"McAuliffe, ",0,male,,,Able bodied seaman,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"McCarthy, W.",1,male,47,"Cork, Ireland",Able bodied seaman,,,,4,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"McGough, James (Paddy)",1,male,25,Southampton,Able bodied seaman,,,,9,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Osman, Frank",1,male,28,Southampton,Able bodied seaman,,,,2,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Pascoe, C. H.",1,male,43,"Itchen, Hampshire",Able bodied seaman,,,,3,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Peters, W. C.",1,male,26,"Woolston, Hampshire",Able bodied seaman,,,,9,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Pigott, P.",1,male,,Southampton,Able bodied seaman,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Poigndestre, John ",1,male,33,Southampton,Able bodied seaman,,,,12,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Scarrott, Joseph",1,male,33,Southampton,Able bodied seaman,,,,14,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Smith, W.",0,male,26,Southampton,Able bodied seaman,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Taylor, C.",0,male,,Southampton,Able bodied seaman,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Terrell, Bertram",0,male,20,Southampton,Able bodied seaman,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Weller, William",1,male,30,Southampton,Able bodied seaman,,,,7,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"White, Ralph ",1,male,,,Able bodied seaman,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Moore, George",1,male,32,Southampton,Able bodied seaman ,,,,3,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Back, C ",0,male,32,Southampton,Assistant attendant,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Barker, A ",0,male,19,"Kingsworthy, Winchester",Assistant baker,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Barnes, W ",0,male,37,Southampton,Assistant baker,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Chitty, G ",0,male,28,Southampton,Assistant baker,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Neale, H ",1,male,25,Southampton,Assistant baker,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Smith, J ",0,male,,Southampton,Assistant baker,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Wake, S ",0,male,32,Southampton,Assistant baker,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"White, A ",0,male,,Portsmouth,Assistant barber,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Harding, A ",0,male,20,"Swaything, Hampshire",Assistant bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Longmiur, J ",0,male,19,Eastleigh,Assistant bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Pook, R ",0,male,34,Plymouth,Assistant bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Fellows, A ",0,male,29,Southampton,Assistant boots,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Guy, J ",1,male,28,Southampton,Assistant boots,,,,5,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Henry, W.",0,male,,Southampton,Assistant boots,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Jackson, H ",0,male,29,Southampton,Assistant boots,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,Scott,0,male,21,Southampton,Assistant boots,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
