,Pclass,Name,Survived,Sex,Age,Hometown,Role,Role Additional info,Image,Misc Information,Lifeboat,Body Disposition,Job Area,Source of info 1,Source of info 2,Home_Lat,Home_Lng
143,,"Price, E ",0.0,male,17.0,London,Barman, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
144,,"Clarke, J. Fred C. ",0.0,male,,,Bass violist,,,,,"#202, Mount Olivet Cemetery, Halifax NS",The Band,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,,
145,,"Broom, H ",0.0,male,33.0,East Cowes,Bath steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.759108,-1.285492
146,,"Major, E ",0.0,male,35.0,London,Bath steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
147,,"Morris, F ",1.0,male,28.0,London,Bath steward,,,,14,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
148,,"Pennell, F ",0.0,male,33.0,Southampton,Bath steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
149,,"Rule, Samuel J ",1.0,male,58.0,Southampton,Bath steward,,,,15,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
150,,"Hinckley, G ",0.0,male,35.0,Southampton,Baths,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
151,,"Widgery, James",1.0,male,37.0,"Redland, Bristol",Baths,,,,9,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.4677204,-2.6062403
152,,"Allan, R ",0.0,male,36.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
153,,"Anderson, W ",0.0,male,48.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
154,,"Barlow, G ",0.0,male,36.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
155,,"Beedman, G ",0.0,male,34.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
156,,"Bishop, W ",0.0,male,34.0,"Itchen, Hampshire",Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.00149219999999,-1.3229982
157,,"Bogie, L ",0.0,male,29.0,Eastleigh,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.967182,-1.374688
158,,"Bond, W ",0.0,male,40.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
159,,"Boothby, W ",0.0,male,36.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
160,,"Brewster, G. H ",0.0,male,48.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
161,,"Byrne, J ",0.0,male,31.0,"Illford, Essex",Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.556619,0.076251
162,,"Clark, T ",0.0,male,,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
163,,"Crawford, Alfred",1.0,male,36.0,Southampton,Bedroom steward,,,,8,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
164,,"Crumplin, C ",0.0,male,35.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
165,,"Cullen, C ",1.0,male,45.0,Liverpool,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.4083714,-2.9915726
166,,"Cunningham, Andrew",1.0,male,35.0,Southampton,Bedroom steward,,,,4,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
167,,"Davies, Gordon",0.0,male,33.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
168,,"Donoghue, F ",0.0,male,35.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
169,,"Etches, Henry Samuel",1.0,male,41.0,Southampton,Bedroom steward,,,,5,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
170,,"Faulkner, William",1.0,male,37.0,Southampton,Bedroom steward,,,,11,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
171,,"Ford, F ",0.0,male,37.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
172,,"Geddes, R ",0.0,male,31.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
173,,"Gill, S ",0.0,male,34.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
174,,"Hamblyn, Ernest William",0.0,male,41.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
175,,"Hayter, A ",0.0,male,44.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
176,,"Hewett, T ",0.0,male,37.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
177,,"Hill, J ",0.0,male,38.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
178,,"Hogg, C ",0.0,male,37.0,Liverpool,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.4083714,-2.9915726
179,,"Ide, H ",0.0,male,32.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
180,,"Janaway, W ",0.0,male,35.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
181,,"MacKie, G ",0.0,male,34.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
182,,"McCarty, F ",0.0,male,36.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
183,,"McMurray, W ",0.0,male,43.0,Liverpool,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.4083714,-2.9915726
184,,"O'Connor, T ",0.0,male,39.0,Liverpool,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.4083714,-2.9915726
185,,"Penrose, J ",0.0,male,49.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
186,,"Petty, Edwin Henry",0.0,male,25.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
187,,"Reed, C ",0.0,male,43.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
188,,"Roberts, H ",0.0,male,40.0,Liverpool,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.4083714,-2.9915726
189,,"Siebert, Sidney C. ",0.0,male,,Southampton,Bedroom steward,,,,4,"died on Carpathia, buried at sea",Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
190,,"Smith, C ",0.0,male,,"Woolston, Hampshire",Bedroom steward,,,,,"#329?, Fairview Cemetery, Halifax NS",Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.8935081,-1.3748443
191,,"Stone, E ",0.0,male,26.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
192,,"Stone, E ",0.0,male,30.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
193,,"Swan, W ",0.0,male,,Liverpool,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.4083714,-2.9915726
194,,"Thessinger, A ",1.0,male,,Southampton,Bedroom steward,,,,11,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
195,,"Ward, E ",0.0,male,34.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
196,,"Ward, P ",0.0,male,38.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
197,,"Wareham, R ",0.0,male,36.0,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
198,,"Wittman, H ",0.0,male,,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
199,,"Barrett, A ",0.0,male,15.0,Southampton,Bell boy,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
200,,"Harris, C. H ",0.0,male,16.0,Southampton,Bell Boy,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
201,,"Watson, W ",0.0,male,14.0,Southampton,Bell boy,,,One of the 2 youngest crew members aboard the Titanic,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
202,,"Nichols, Alfred",0.0,male,34.0,Southampton,Boatswain,,,,,died inside ship,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
203,,"Haines, Albert",1.0,male,31.0,Southampton,Boatswain's mate,,,,9,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
204,,"Chisnall, G.",0.0,male,35.0,Southampton,Boilermaker,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
205,,"Bully, H ",0.0,male,21.0,Southampton,Boots,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
206,,"Chapman, J ",1.0,male,32.0,Southampton,Boots,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
207,,"Perrin, W ",0.0,male,39.0,Southampton,Boots,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
208,,"Fletcher, P. W ",0.0,male,26.0,London,Bugler,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
209,,"Smith, Edward John",0.0,male,62.0,Southampton,Captain,,https://www.encyclopedia-titanica.org/files/admin/files/captain-smith-titanic.jpg,"Fifth Officer Harold Lowe ran away from home at age 14 and began life at sea, starting as a ship’s boy on schooners around the Welsh coast.",,,Deck Department,"https://www.lva.virginia.gov/exhibits/titanic/crew.php
Source 2 https://titanicfacts.net/titanic-crew/",,50.90970040000001,-1.4043509
210,,"Painton, J. A. ",0.0,male,29.0,Oxford,Captain's steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.7520209,-1.2577263
211,,"Hutchinson, John H.",0.0,male,26.0,Southampton,Carpenter,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
212,,"Maxwell, John",0.0,male,31.0,Southampton,Carpenter,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
213,,"Scavino, C ",0.0,male,42.0,London,Carver, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
214,,"Bowker, Miss",0.0,female,27.0,"Little Sutton, Cheshire",Cashier, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.285023,-2.9443229
215,,"Bricoux, Roger",0.0,male,,,Cellist,,,,,,The Band,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,,
216,,"Taylor, Percy, C.",0.0,male,,,Cellist,,,,,,The Band,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,,
217,,"Woodward, J. W.",0.0,male,,,Cellist,,,,,,The Band,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,,
218,,"Proctor, Chester",0.0,male,40.0,Southampton,Chef,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
219,,"Rousseau, P ",0.0,male,49.0,London,Chef, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
220,,"Mauge, Paul ",1.0,male,25.0,London,Chef's assistant, Ala Carte Restaurant,,,5,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
221,,"Joughin, Charles",1.0,male,32.0,Southampton,Chief baker,,,,Collapsible B,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
222,,"Stebbing, S ",0.0,male,,Southampton,Chief boots,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
223,,"Maytum, Alfred",0.0,male,52.0,Southampton,Chief butcher,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
224,,"Sloan, P.",0.0,male,31.0,Southampton,Chief electrician,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
225,,"Bell, Joseph",0.0,male,50.0,Southampton,Chief Engineer,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
226,,"Belford, Walter ",1.0,male,31.0,"Itchen, Hampshire",Chief night baker,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.00149219999999,-1.3229982
227,,"Wilde, Henry Tingle",0.0,male,39.0,Liverpool,Chief officer,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.4083714,-2.9915726
228,,"Walpole, John",0.0,male,48.0,Southampton,Chief pantryman,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
229,,"Hardy, John",1.0,male,37.0,Southampton,Chief second class steward,,,,Collapsible D,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
230,,"Dodd, George",0.0,male,44.0,Southampton,Chief second steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
231,,"Latimer, Andrew J ",0.0,male,55.0,Liverpool,Chief steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.4083714,-2.9915726
232,,"Parsons, E ",0.0,male,35.0,Southampton,Chief storekeeper,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
233,,"Kiernan, James W.",0.0,male,32.0,Southampton,Chief third class steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
234,,"Ashcroft, A ",0.0,male,26.0,Cheshire,Clerk,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.23263439999999,-2.6103158
235,,"Campbell, D. S ",0.0,male,25.0,Southampton,Clerk,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
236,,"Rice, J. R ",0.0,male,25.0,Crosby,Clerk,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.4892924,-3.0462309
237,,"Olive, E. R ",0.0,male,28.0,Southampton,Clothes presser,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
238,,"Voegelin, H ",0.0,male,35.0,London,Coffeeman, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
239,,"Farrendon, E ",0.0,male,32.0,Emsworth,Confectioner,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.848132,-0.937928
240,,"Jeffery, W ",0.0,male,28.0,Southampton,Controller, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
241,,"Kennell, C ",0.0,male,30.0,Southampton,Cook,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
242,,"Stubbings, H ",0.0,male,,"Woodside, Lymington",Cook and mess,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.74571700000001,-1.546645
243,,"Creese, H.",0.0,male,44.0,Southampton,Deck engineer,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
244,,"Edge, F ",0.0,male,37.0,"Woolston, Hampshire",Deck steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.8935081,-1.3748443
245,,"Freeman, Ernest E. S ",0.0,male,43.0,Southampton,Deck steward,,,,,"#239, Fairview Cemetery, Halifax NS",Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
246,,"White, Alfred ",0.0,male,,,Electrician,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,,
247,,"Coutin, A ",0.0,male,28.0,Southampton,Entree cook, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
248,,"Maynard, John",1.0,male,31.0,Southampton,Entree cook,,,,Collapsible B,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
249,,"Kemp, Thos",0.0,male,43.0,Southampton,Executive fourth assistant engineer,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
250,,"Millar, R.",0.0,male,27.0,"Alloa, N. B.",Extra fifth assistant engineer,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,56.00903229999999,-3.582634
251,,"Davies, J ",0.0,male,27.0,Southampton,Extra second baker,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
252,,"Burgess, Charles",1.0,male,18.0,Southampton,Extra third baker,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
253,,"Lowe, Harold Godfrey",1.0,male,29.0,Southampton,Fifth officer,,"https://www.google.com/search?q=titanic+survivor+Lowe,+Harold+Godfrey&sxsrf=ALeKk02bKF3qkcRLkCxvKXikFFh0EQ-bHQ:1615051436194&source=lnms&tbm=isch&sa=X&ved=2ahUKEwiPq5e5l5zvAhWaPM0KHbweBvMQ_AUoAXoECBYQAw&biw=1143&bih=927#imgrc=niL_nzY2jffbfM",,14,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
254,,"Abraham, C.",0.0,male,33.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
255,,"Adams, R.",0.0,male,26.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
256,,"Allen, H.",0.0,male,32.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
257,,"Bailey, G. W.",0.0,male,46.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
258,,"Ball, W.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
259,,"Barlow, C.",0.0,male,30.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
260,,"Barnes, Chas",0.0,male,29.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
261,,"Barnes, J.",0.0,male,29.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
262,,"Barrett, F. W.",0.0,male,33.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
263,,"Beauchamp, George",1.0,male,24.0,Southampton,Fireman,,,,13,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
264,,"Bendell, T.",0.0,male,24.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
265,,"Bennett, G.",0.0,male,30.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
266,,"Benville, E.",0.0,male,42.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
267,,"Bessant, W.",0.0,male,39.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
268,,"Biddlecombe, C.",0.0,male,33.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
269,,"Biggs, E.",0.0,male,21.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
270,,"Black, A.",0.0,male,28.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
271,,"Black, D.",0.0,male,41.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
272,,"Blackman, H.",0.0,male,24.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
273,,"Blake, T.",0.0,male,36.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
274,,"Blancy, J.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
275,,"Blann, Eustace",0.0,male,21.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
276,,"Bradley, P.",0.0,male,29.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
277,,"Brigge, W.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
278,,"Brown, J.",0.0,male,25.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
279,,"Brown, J.",0.0,male,25.0,Eastleigh,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.967182,-1.374688
280,,"Burroughs, A.",0.0,male,35.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
281,,"Burton, E.",0.0,male,32.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
282,,"Butt, W.",0.0,male,30.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
283,,"Camner, J.",0.0,male,40.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
284,,"Cherrett, W.",0.0,male,24.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
285,,"Chorley, J.",0.0,male,25.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
286,,"Clark, W.",1.0,male,39.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
287,,"Coffey, John",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
288,,"Collins, Samuel",1.0,male,35.0,Southampton,Fireman,,,,1,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
289,,"Coombes, G.",1.0,male,21.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
290,,"Cooper, H.",0.0,male,26.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
291,,"Copperthwaite, B.",0.0,male,22.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
292,,"Corcoran, D.",0.0,male,33.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
293,,"Cotton, A.",0.0,male,26.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
