,Pclass,Name,Survived,Sex,Age,Hometown,Role,Role Additional info,Image,Misc Information,Lifeboat,Body Disposition,Job Area,Source of info 1,Source of info 2,Home_Lat,Home_Lng
33,,"White, Ralph ",1.0,male,,,Able bodied seaman,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,,
34,,"Moore, George",1.0,male,32.0,Southampton,Able bodied seaman ,,,,3,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
35,,"Back, C ",0.0,male,32.0,Southampton,Assistant attendant,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
36,,"Barker, A ",0.0,male,19.0,"Kingsworthy, Winchester",Assistant baker,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.102386,-1.297073
37,,"Barnes, W ",0.0,male,37.0,Southampton,Assistant baker,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
38,,"Chitty, G ",0.0,male,28.0,Southampton,Assistant baker,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
39,,"Neale, H ",1.0,male,25.0,Southampton,Assistant baker,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
40,,"Smith, J ",0.0,male,,Southampton,Assistant baker,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
41,,"Wake, S ",0.0,male,32.0,Southampton,Assistant baker,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
42,,"White, A ",0.0,male,,Portsmouth,Assistant barber,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.8197675,-1.0879769
43,,"Harding, A ",0.0,male,20.0,"Swaything, Hampshire",Assistant bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.9396865,-1.3793283
44,,"Longmiur, J ",0.0,male,19.0,Eastleigh,Assistant bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.967182,-1.374688
45,,"Pook, R ",0.0,male,34.0,Plymouth,Assistant bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.3754565,-4.1426565
46,,"Fellows, A ",0.0,male,29.0,Southampton,Assistant boots,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
47,,"Guy, J ",1.0,male,28.0,Southampton,Assistant boots,,,,5,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
48,,"Henry, W.",0.0,male,,Southampton,Assistant boots,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
49,,"Jackson, H ",0.0,male,29.0,Southampton,Assistant boots,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
50,,Scott,0.0,male,21.0,Southampton,Assistant boots,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
51,,"Barker, T ",0.0,male,37.0,Southampton,Assistant butcher,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
52,,"Barrow, H ",0.0,male,35.0,Southampton,Assistant butcher,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
53,,"Hensford, J ",0.0,male,29.0,Southampton,Assistant butcher,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
54,,"Mills, C ",1.0,male,51.0,Southampton,Assistant butcher,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
55,,"Wiltshire, W ",0.0,male,33.0,Southampton,Assistant butcher,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
56,,"Bochetez, J ",0.0,male,,Southampton,Assistant chef,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
57,,"Halloway, S ",0.0,male,,Southampton,Assistant clothes presser,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
58,,"Gros, Claude G ",0.0,male,24.0,Southampton,Assistant coffee man, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
59,,"Leader, A ",0.0,male,22.0,West Southbourne,Assistant confectioner,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.7222705,-1.795634
60,,"Vine, H ",0.0,male,18.0,London,Assistant controller, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
61,,"Coombs, C ",0.0,male,35.0,Southampton,Assistant cook,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
